      Flight    Line  FlownMis  FlownHel  Production        Mission
 20230322.01  304802     4.348     4.381    00:03:51      L304800.2
 20230322.01  304903     1.085     1.080    00:01:02      L304900.2
 20230322.01  305003     1.195     1.181    00:01:06      L305000.1
 20230322.01  305103     1.172     1.163    00:01:02      L305100.1
 20230322.01  305203     1.261     1.308    00:01:24      L305200.1
 20230322.01  305304     1.246     1.236    00:01:09      L305300.1
 20230322.01  305403     5.021     5.119    00:04:06      L305400.1
 20230322.01  305305     1.002     0.983    00:00:56      L305300.2
 20230322.01  305204     0.993     1.010    00:00:58      L305200.2
 20230322.01  305104     1.084     1.079    00:01:00      L305100.2
 20230322.01  305004     1.150     1.152    00:01:02      L305000.2
 20230322.01  304904     1.387     1.389    00:01:15      L304900.3
 20230322.01  304803     1.415     1.407    00:01:19      L304800.3
 20230322.01  304702     1.411     1.416    00:01:25      L304700.3
 20230322.01  304602     1.300     1.317    00:01:18      L304600.3
 20230322.01  304502     1.430     1.432    00:01:22      L304500.3
 20230322.01  306302    11.626    11.737    00:09:05      L306300.2
 20230322.01  306203     2.136     2.125    00:01:44      L306200.1
 20230322.01  306402    11.313    11.509    00:08:38      L306400.1
 20230322.01  306502     4.971     5.013    00:04:04      L306500.1
 20230322.01  306503     5.567     5.810    00:05:04      L306500.1
 20230322.01  306602     3.825     3.814    00:03:04      L306600.1
 20230322.01  306702     3.730     3.862    00:03:22      L306700.1
 20230322.01  920020     0.000     1.024    00:00:45              *
 20230322.02  930021     0.000     2.976    00:01:41              *
 20230322.02  304703     4.133     4.162    00:03:07      L304700.2
 20230322.02  304603     4.317     4.431    00:03:23      L304600.2
 20230322.02  304604     1.760     1.768    00:01:26      L304600.1
 20230322.02  304704     1.153     1.154    00:00:58      L304700.1
 20230322.02  304804     0.970     0.981    00:00:56      L304800.1
 20230322.02  304905     1.003     1.002    00:00:59      L304900.1
 20230322.02  304503     6.230     6.273    00:04:33      L304500.2
 20230322.02  304402     4.307     4.344    00:03:10      L304400.2
 20230322.02  304403     1.839     1.842    00:01:30      L304400.1
 20230322.02  304302     6.347     6.380    00:04:14      L304300.2
 20230322.02  304201     6.316     6.393    00:04:44      L304200.1
 20230322.02  304101     6.042     6.091    00:04:29      L304100.1
 20230322.02  304001     6.391     6.419    00:04:43      L304000.1
 20230322.02  303901     6.540     6.577    00:04:31      L303900.0
 20230322.02  303801     4.272     4.263    00:03:04      L303800.0
 20230322.02  303701     3.992     4.177    00:03:10      L303700.0
 20230322.02  303601     3.081     3.207    00:02:49      L303600.0
 20230322.02  303501     2.848     2.847    00:02:14      L303500.0
 20230322.02  303401     2.470     2.451    00:01:57      L303400.0
 20230322.02  303301     2.484     2.478    00:01:45      L303300.0
 20230322.02  303201     2.200     2.220    00:02:00      L303200.0
 20230322.02  303101     2.153     2.162    00:01:42      L303100.0
 20230322.02  303001     1.864     1.846    00:01:30      L303000.0
 20230322.02  302901     1.155     1.155    00:00:55      L302900.0
 20230322.02  302902     0.440     0.421    00:00:26      L302900.0
 20230322.02  302801     1.628     1.637    00:01:17      L302800.0
 20230322.02  302701     1.314     1.313    00:01:08      L302700.0
 20230322.02  302601     1.569     1.594    00:01:21      L302600.0
 20230322.02  302501     1.249     1.243    00:01:00      L302500.0
 20230322.02  302401     1.340     1.330    00:00:58      L302400.0
 20230322.02  302301     1.045     1.036    00:00:49      L302300.0
 20230322.02  302201     1.136     1.120    00:00:52      L302200.0
 20230322.02  302101     0.767     0.765    00:00:38      L302100.0
 20230322.02  306603     4.557     4.642    00:03:35      L306600.1
 20230322.02  306604     2.219     2.218    00:01:41      L306600.1
 20230322.02  306703     2.263     2.259    00:01:37      L306700.1
 20230322.02  306802     5.349     5.527    00:04:50      L306800.1
 20230322.02  306902     5.703     5.764    00:04:21      L306900.1
 20230322.02  307002     5.875     5.881    00:04:40      L307000.1
 20230322.02  307102    11.637    11.820    00:07:59      L307100.1
 20230322.02  307003     4.594     4.726    00:03:41      L307000.1
 20230322.02  306903     4.587     4.771    00:03:45      L306900.1
 20230322.02  306803     4.441     4.642    00:03:58      L306800.1
 20230322.02  306704     0.596     0.584    00:00:34      L306700.1
 20230322.02  306705     2.844     2.850    00:02:13      L306700.1
 20230322.02  307202    11.364    11.720    00:08:48      L307200.1
 20230322.02  307302     8.997     9.102    00:06:37      L307300.1
 20230322.02  307402     8.961     9.032    00:06:02      L307400.1
 20230322.02  307502     2.290     2.280    00:01:49      L307500.1
 20230322.02  307603     2.048     2.052    00:01:39      L307600.2
 20230322.02  920021     0.000     1.016    00:00:47              *
 20230323.01  930022     1.840     2.519    00:01:43      L306400.1
 20230323.01  304202     1.022     1.020    00:00:48      L304200.2
 20230323.01  304102     1.194     1.178    00:00:57      L304100.2
 20230323.01  304002     1.354     1.341    00:01:02      L304000.2
 20230323.01  303902     1.573     1.581    00:01:22      L303900.1
 20230323.01  303802     2.802     2.798    00:02:02      L303800.1
 20230323.01  303702     3.050     3.065    00:02:36      L303700.1
 20230323.01  303602     3.387     3.385    00:02:33      L303600.1
 20230323.01  303502     3.886     3.963    00:03:47      L303500.1
 20230323.01  303402     3.896     3.922    00:03:08      L303400.1
 20230323.01  303302     4.161     4.165    00:03:28      L303300.1
 20230323.01  303202     4.185     4.187    00:03:06      L303200.1
 20230323.01  303102     4.255     4.289    00:03:39      L303100.1
 20230323.01  303002     4.357     4.411    00:03:40      L303000.1
 20230323.01  302903     4.350     4.363    00:03:38      L302900.2
 20230323.01  302802     4.225     4.237    00:02:51      L302800.1
 20230323.01  302702     2.483     2.486    00:02:11      L302700.1
 20230323.01  302602     2.465     2.472    00:01:48      L302600.1
 20230323.01  302502     2.393     2.392    00:02:00      L302500.1
 20230323.01  302402     2.370     2.412    00:01:51      L302400.1
 20230323.01  302302     2.601     2.656    00:02:30      L302300.1
 20230323.01  302202     2.653     2.710    00:02:24      L302200.1
 20230323.01  302102     2.623     2.653    00:02:23      L302100.1
 20230323.01  302001     2.070     2.069    00:01:35      L302000.0
 20230323.01  301901     2.034     2.102    00:01:50      L301900.0
 20230323.01  301801     1.968     1.995    00:01:43      L301800.0
 20230323.01  301701     1.847     1.890    00:01:40      L301700.0
 20230323.01  301601     1.767     1.809    00:01:35      L301600.0
 20230323.01  301501     1.700     1.821    00:01:43      L301500.0
 20230323.01  301401     2.005     2.093    00:01:45      L301400.0
 20230323.01  301301     2.777     2.771    00:02:19      L301300.0
 20230323.01  301201     2.945     2.965    00:02:11      L301200.0
 20230323.01  301101     3.452     3.438    00:02:40      L301100.0
 20230323.01  301001     3.350     3.341    00:02:13        L301000
 20230323.01  300901     3.136     3.244    00:02:37        L300900
 20230323.01  300801     3.075     3.187    00:02:06        L300800
 20230323.01  300701     2.907     2.938    00:02:29        L300700
 20230323.01  300601     2.543     2.569    00:01:56        L300600
 20230323.01  300501     1.880     1.918    00:01:35        L300500
 20230323.01  300401     1.452     1.463    00:01:07        L300400
 20230323.01  300301     1.556     1.624    00:01:28        L300300
 20230323.01  300201     1.541     1.535    00:01:06        L300200
 20230323.01  300101     1.350     1.352    00:01:11        L300100
 20230323.01  210702     1.930     1.922    00:01:32      L210700.3
 20230323.01  210403     0.906     0.897    00:00:42      L210400.2
 20230323.01  210302     0.979     0.979    00:00:53      L210300.2
 20230323.01  210802     1.322     1.338    00:01:01      L210800.3
 20230323.01  210902     1.396     1.396    00:01:11      L210900.3
 20230323.01  211002     1.299     1.344    00:01:12      L211000.3
 20230323.01  211102     1.271     1.284    00:01:14      L211100.3
 20230323.01  211202     1.027     1.024    00:00:58      L211200.3
 20230323.01  211302     1.172     1.237    00:01:14      L211300.3
 20230323.01  211402     1.001     1.017    00:00:53      L211400.3
 20230323.01  211502     2.729     2.738    00:02:14      L211500.2
 20230323.01  211403     1.060     1.068    00:00:47      L211400.2
 20230323.01  211303     1.588     1.573    00:01:18      L211300.2
 20230323.01  211203     1.600     1.583    00:01:03      L211200.2
 20230323.01  211103     1.583     1.571    00:01:18      L211100.2
 20230323.01  211603     1.883     1.882    00:01:20      L211600.3
 20230323.01  211702     1.595     1.594    00:01:21      L211700.3
 20230323.01  211802     1.223     1.208    00:01:02      L211800.3
 20230323.01  307303     2.522     2.578    00:01:58      L307300.1
 20230323.01  307403     2.966     2.960    00:02:07      L307400.1
 20230323.01  307503     1.474     1.463    00:01:21      L307500.1
 20230323.01  307504     8.797     8.932    00:07:04      L307500.1
 20230323.01  307604     9.369     9.563    00:06:36      L307600.2
 20230323.01  307703    11.084    11.317    00:08:44      L307700.2
 20230323.01  307903     1.617     1.587    00:01:09      L307900.2
 20230323.01  307802     1.496     1.519    00:01:17      L307800.2
 20230323.01  920022     0.000     1.012    00:00:44              *
 20230323.01  383005     0.000     0.671    00:00:28              *
 20230323.01  383006     0.000     0.719    00:00:34              *
 20230323.02  930023     0.000     2.708    00:02:01              *
 20230323.02  308003     9.153     9.253    00:06:03      L308000.2
 20230323.02  307904     7.612     7.861    00:05:56      L307900.2
 20230323.02  307803     9.873    10.134    00:07:01      L307800.2
 20230323.02  307905     2.778     2.764    00:02:05      L307900.2
 20230323.02  308103     9.097     9.167    00:06:49      L308100.2
 20230323.02  308203     6.642     6.724    00:04:22      L308200.2
 20230323.02  308303     6.260     6.266    00:04:22      L308300.1
 20230323.02  308403     6.272     6.292    00:04:12      L308400.1
 20230323.02  308503     5.507     5.591    00:04:17      L308500.1
 20230323.02  308603     5.436     5.447    00:03:37      L308600.1
 20230323.02  308703     5.529     5.524    00:04:02      L308700.1
 20230323.02  308803     5.567     5.599    00:03:51      L308800.1
 20230323.02  308903     5.482     5.548    00:04:02      L308900.1
 20230323.02  309003     5.422     5.417    00:03:37      L309000.1
 20230323.02  309103     5.328     5.341    00:03:50      L309100.1
 20230323.02  309203     5.239     5.343    00:04:09      L309200.1
 20230323.02  309303     4.791     4.817    00:03:31      L309300.1
 20230323.02  309403     4.792     4.789    00:03:04      L309400.1
 20230323.02  309503     4.704     4.705    00:03:24      L309500.2
 20230323.02  309504     4.721     4.843    00:04:03      L309500.2
 20230323.02  309703     4.926     5.096    00:04:34      L309700.3
 20230323.02  309803     5.179     5.516    00:04:37      L309800.3
 20230323.02  309902     0.966     0.972    00:01:07      L309900.3
 20230323.02  310002     0.963     0.970    00:01:07      L310000.2
 20230323.02  309903     1.070     1.068    00:00:56      L309900.2
 20230323.02  309904     8.816     8.989    00:07:14      L309900.1
 20230323.02  310003     1.752     1.737    00:01:20      L310000.1
 20230323.02  310004     6.784     6.786    00:04:42      L310000.1
 20230323.02  310102     0.794     0.783    00:00:42      L310100.1
 20230323.02  310103     8.139     8.398    00:06:58      L310100.1
 20230323.02  310202     3.977     3.992    00:03:13      L310200.1
 20230323.02  310203     4.513     4.515    00:03:12      L310200.2
 20230323.02  310301     1.265     1.261    00:01:10      L310300.3
 20230323.02  310302     3.086     3.100    00:02:29      L310300.2
 20230323.02  310303     3.924     4.016    00:03:21      L310300.1
 20230323.02  310403     3.700     3.750    00:02:49      L310400.1
 20230323.02  310404     2.671     2.714    00:02:03      L310400.2
 20230323.02  310502     2.143     2.143    00:01:41      L310500.2
 20230323.02  310503     3.689     3.714    00:02:53      L310500.1
 20230323.02  310602     3.522     3.516    00:02:37      L310600.1
 20230323.02  920023     0.000     1.002    00:00:47              *
 20230324.01  930024     0.000    10.037    00:05:31              *
