      Flight    Line  FlownMis  FlownHel  Production        Mission
 20230309.01  114701     2.672     2.697    00:02:34      L114700.0
 20230309.01  114602     1.715     1.698    00:01:21      L114600.1
 20230309.01  114502     1.753     1.773    00:01:39      L114500.1
 20230309.01  114402     1.648     1.750    00:01:30      L114400.1
 20230309.01  114901     2.503     2.528    00:02:07      L114900.0
 20230309.01  115001     2.496     2.494    00:01:54      L115000.0
 20230309.01  115101     2.383     2.427    00:02:13      L115100.0
 20230309.01  115201     2.222     2.230    00:01:48      L115200.0
 20230309.01  115301     1.799     1.806    00:01:45      L115300.0
 20230309.01  115401     1.695     1.690    00:01:23      L115400.0
 20230309.01  115501     1.816     1.832    00:01:44      L115500.0
 20230309.01  115601     2.200     2.252    00:01:56      L115600.0
 20230309.01  115702     2.170     2.180    00:02:02      L115700.1
 20230309.01  115802     2.792     2.836    00:02:21      L115800.1
 20230309.01  115803     0.814     0.810    00:00:39      L115800.1
 20230309.01  115402     0.766     0.756    00:00:44      L115400.1
 20230309.01  115903     0.222     0.190    00:00:12      L115900.2
 20230309.01  115902     1.538     1.548    00:01:24      L115900.2
 20230309.01  116001     2.703     2.754    00:02:17      L116000.2
 20230309.01  116102     1.819     1.922    00:01:56      L116100.2
 20230309.01  116201     1.722     1.892    00:01:34      L116200.1
 20230309.01  116301     0.490     0.490    00:00:32      L116300.1
 20230309.01  116401     0.633     0.628    00:00:38      L116400.1
 20230309.01  116501     0.714     0.719    00:00:47      L116500.1
 20230309.01  116601     0.866     0.854    00:00:45      L116600.0
 20230309.01  116701     0.913     0.919    00:00:50      L116700.0
 20230309.01  116801     1.181     1.166    00:00:53      L116800.0
 20230309.01  116605     0.368     0.372    00:00:27      L116600.0
 20230309.01  116404     0.360     0.349    00:00:22      L116400.1
 20230309.01  116901     0.483     0.460    00:00:28      L116900.0
 20230309.01  117001     0.588     0.604    00:00:33      L117000.0
 20230309.01  117102     0.425     0.406    00:00:23      L117100.0
 20230309.01  117202     1.157     1.136    00:01:04      L117200.0
 20230309.01  117103     1.020     1.024    00:00:58      L117100.0
 20230309.01  117002     0.699     0.675    00:00:33      L117000.0
 20230309.01  116902     0.881     0.918    00:00:57      L116900.0
 20230309.01  117203     1.079     1.053    00:00:50      L117200.0
 20230309.01  117302     1.226     1.190    00:00:49      L117300.0
 20230309.01  117201     1.386     1.399    00:00:58      L117200.0
 20230309.01  117101     1.066     1.060    00:01:01      L117100.0
 20230309.01  117301     1.147     1.135    00:00:50      L117300.1
 20230309.01  117401     0.982     0.963    00:00:53      L117400.1
 20230309.01  117402     0.728     0.730    00:00:41      L117400.0
 20230309.01  117501     0.489     0.490    00:00:28      L117500.0
 20230309.01  117601     0.759     0.755    00:00:45      L117600.0
 20230309.01  117701     1.363     1.363    00:01:10      L117700.0
 20230309.01  117801     0.273     0.282    00:00:23      L117800.0
 20230309.01  117901     0.719     0.728    00:00:52      L117900.0
 20230309.01  118001     0.767     0.762    00:00:49      L118000.0
 20230309.01  118101     0.825     0.826    00:00:58      L118100.0
 20230309.01  118201     0.926     0.929    00:00:56      L118200.0
